id,rating,genre,theater_date,box_office,runtime,studio
1169,PG-13,Horror,"Feb 27, 2015",20467547.0,83.0,Relativity Media
1290,R,Action and Adventure|Drama|Horror|Mystery and Suspense,"Jun 24, 2005",20433940.0,92.0,Universal Pictures
1520,PG-13,Drama|Musical and Performing Arts,"Jan 7, 2011",20218921.0,112.0,
165,R,Horror|Mystery and Suspense,"Feb 2, 2001",19755422.0,96.0,Warner Bros. Pictures
1475,PG,Action and Adventure|Animation|Kids and Family|Science Fiction and Fantasy,"Oct 23, 2009",19548064.0,94.0,Summit Entertainment
755,PG-13,Action and Adventure|Science Fiction and Fantasy,"Nov 26, 2003",19375474.0,116.0,Paramount Pictures
901,G,Documentary|Drama,"Apr 22, 2010",19000000.0,103.0,Disneynature
1837,PG,Drama|Romance,"Aug 3, 2007",18602895.0,120.0,Miramax Films
1707,PG-13,Action and Adventure|Mystery and Suspense,"Sep 30, 2005",18472363.0,110.0,Sony Pictures
1162,R,Comedy|Drama,"Mar 4, 2016",18356529.0,111.0,Paramount Pictures
1808,R,Action and Adventure|Drama,"Oct 19, 2007",18173360.0,148.0,Paramount Vantage
1239,G,Animation|Kids and Family,"Feb 11, 2005",18013938.0,67.0,Buena Vista
573,PG-13,Comedy|Drama,"Sep 23, 2005",17364602.0,118.0,Fox Searchlight Pictures
1279,PG,Comedy|Kids and Family,"Dec 8, 2006",16614132.0,89.0,Warner Bros.
903,G,Comedy|Documentary|Science Fiction and Fantasy|Special Interest,"Apr 11, 2003",16302332.0,59.0,Buena Vista Distribution
864,PG-13,Drama|Mystery and Suspense,"Dec 4, 2009",15988876.0,88.0,
345,PG-13,Comedy|Drama,"Mar 14, 2014",15986272.0,111.0,Lionsgate Films
686,PG-13,Horror|Mystery and Suspense|Science Fiction and Fantasy,"Jan 24, 2014",15687400.0,92.0,Lionsgate Films
1150,PG-13,Comedy,"Mar 24, 2006",15655665.0,89.0,Lions Gate Films
1857,R,Action and Adventure|Mystery and Suspense,"Aug 7, 2009",15536310.0,97.0,Universal Pictures
1362,PG-13,Drama,"Jan 30, 2015",15504419.0,90.0,
756,R,Drama,"Jul 13, 2016",15425870.0,127.0,Broad Green Pictures
1108,R,Horror|Mystery and Suspense,"May 30, 2003",15176515.0,95.0,20th Century Fox Distribution
1685,R,Drama|Mystery and Suspense,"Jan 12, 2007",15133185.0,118.0,Universal Studios
788,R,Drama,"Mar 11, 2016",14443077.0,95.0,
814,PG-13,Comedy|Romance,"Apr 26, 2002",14400987.0,103.0,20th Century Fox
1721,R,Comedy|Drama,"Nov 18, 2016",14260193.0,98.0,STX Entertainment
1527,PG-13,Comedy,"Feb 20, 2004",14244145.0,110.0,20th Century Fox
582,R,Drama|Mystery and Suspense,"Jul 25, 2014",14037964.0,121.0,Lionsgate/Roadside Attractions
1399,R,Drama|Horror,"Jun 9, 2017",13985117.0,91.0,A24
863,R,Action and Adventure|Art House and International|Comedy|Cult Movies|Drama,"Mar 22, 2013",13900000.0,93.0,A24 Films
1420,R,Comedy|Drama,"Aug 7, 2002",13737564.0,93.0,Fox Searchlight Pictures
355,R,Comedy,"Apr 18, 2014",13710572.0,87.0,Open Road Films
1665,R,Action and Adventure|Comedy,"Apr 17, 2009",13630226.0,85.0,Lionsgate
1757,PG-13,Drama|Musical and Performing Arts|Romance,"Aug 8, 2014",13617501.0,112.0,Lionsgate
1488,G,Animation|Kids and Family|Science Fiction and Fantasy,"Aug 15, 2008",13592311.0,84.0,Summit Entertainment
1342,PG,Action and Adventure|Comedy|Kids and Family,"Oct 27, 2000",13432508.0,105.0,New Line Cinema
887,R,Comedy|Drama|Romance,"Nov 5, 2004",13351235.0,105.0,Paramount Pictures
136,R,Horror|Mystery and Suspense,"Oct 1, 2010",13248477.0,109.0,Paramount Studios
1507,PG,Comedy,"Aug 8, 2007",13155823.0,85.0,Sony Pictures
1744,PG-13,Classics|Drama,"Feb 21, 2003",12900000.0,229.0,Warner Bros. Pictures
969,R,Comedy|Drama,"Oct 1, 2004",12711889.0,106.0,Fox Searchlight
626,R,Horror|Mystery and Suspense|Science Fiction and Fantasy,"Apr 26, 2002",12610731.0,91.0,New Line Cinema
263,R,Horror,"Apr 11, 2003",12583510.0,88.0,Lions Gate Films Inc.
210,PG-13,Drama|Romance,"Sep 2, 2016",12533911.0,132.0,
1263,PG-13,Comedy|Romance,"May 14, 2004",11827301.0,86.0,Screen Gems
1646,R,Drama,"Nov 15, 2013",11348612.0,115.0,Paramount Pictures
1618,PG-13,Action and Adventure|Art House and International|Drama,"Dec 3, 2004",10928042.0,119.0,Sony Pictures Classics
66,R,Mystery and Suspense,"Mar 8, 2013",10880926.0,118.0,FilmDistrict
75,R,Action and Adventure|Mystery and Suspense,"Feb 25, 2011",10706786.0,107.0,Summit Entertainment
672,PG-13,Drama|Horror,"Jan 9, 2009",10572742.0,100.0,Screen Gems/SONY PICTURES
554,PG-13,Action and Adventure|Drama|Horror|Western,"Jun 18, 2010",10500000.0,84.0,Warner Bros. Pictures
1340,PG-13,Comedy|Drama|Mystery and Suspense,"Jan 30, 2004",10279192.0,92.0,Paramount Pictures
1149,PG,Drama|Faith and Spirituality,"Sep 29, 2006",10127352.0,111.0,Destination Film
1237,PG-13,Comedy,"Sep 16, 2011",9500000.0,89.0,The Weinstein Co.
1798,PG,Animation|Comedy|Kids and Family,"Feb 24, 2017",9404922.0,80.0,Summit Premiere
1865,R,Drama,"Mar 2, 2007",9262318.0,115.0,Paramount Vantage
1862,PG-13,Drama|Musical and Performing Arts|Special Interest,"Sep 20, 2013",8888355.0,109.0,Sony Pictures
628,PG,Drama|Kids and Family,,8874389.0,124.0,
1180,PG,Animation|Kids and Family|Science Fiction and Fantasy,"Oct 24, 1993",8616662.0,76.0,Touchstone Pictures
251,R,Drama|Romance,"Nov 20, 2015",8518148.0,118.0,The Weinstein Company
410,R,Drama|Musical and Performing Arts,"Dec 5, 2008",8134217.0,108.0,Sony Pictures
1467,R,Drama|Horror|Mystery and Suspense,"Dec 29, 2000",7518962.0,93.0,Lions Gate Releasing
377,R,Comedy|Drama|Musical and Performing Arts,"Aug 28, 2009",7366736.0,121.0,Focus Features
1337,PG-13,Comedy|Drama,"Apr 21, 2006",7156725.0,108.0,Universal Pictures
299,PG-13,Action and Adventure|Drama,"Sep 1, 2006",7009668.0,95.0,Sony Pictures Entertainment
1394,R,Comedy,"Feb 1, 2008",6515869.0,87.0,Paramount Classics
528,R,Comedy|Drama,"Nov 28, 2007",6426953.0,114.0,Fox Searchlight Pictures
689,R,Drama|Mystery and Suspense,"Jan 9, 2015",6100613.0,148.0,Warner Bros. Pictures
1307,PG-13,Drama,"Nov 23, 2012",6002708.0,98.0,Fox Searchlight Pictures
1528,R,Art House and International|Comedy|Romance,"Aug 9, 2013",5851913.0,97.0,Magnolia Pictures
1327,PG-13,Drama,"Feb 20, 2004",5696752.0,110.0,Paramount Pictures
1940,R,Comedy,"Apr 27, 2001",5689784.0,93.0,USA Films
1339,PG,Comedy|Romance,"May 12, 2017",5617321.0,92.0,Sony Pictures Classics
304,R,Comedy|Drama,"Mar 9, 2012",5600000.0,107.0,Roadside Attractions
227,PG,Comedy|Drama|Musical and Performing Arts,"Aug 14, 2009",5205343.0,111.0,Summit Entertainment
95,R,Drama|Sports and Fitness,"Nov 18, 2016",5051927.0,116.0,Open Road Films
791,R,Art House and International|Comedy|Drama|Mystery and Suspense,"Nov 20, 2009",4900000.0,128.0,Sony Pictures Classics
1602,PG,Drama|Musical and Performing Arts|Faith and Spirituality,"Nov 27, 2013",4894004.0,92.0,Fox Searchlight
87,PG,Art House and International|Drama|Musical and Performing Arts,"Aug 20, 2010",4806750.0,117.0,Samuel Goldwyn Films
356,R,Drama,"Mar 10, 2006",4756532.0,114.0,Weinstein Company
1560,NR,Comedy|Drama,,4683159.0,100.0,Universal Pictures International
970,R,Art House and International|Comedy|Drama,"May 4, 2001",4519967.0,85.0,
1775,R,Action and Adventure|Comedy|Drama,"Jul 27, 2007",4436352.0,118.0,Focus Features
1788,PG,Drama|Romance,"May 15, 2009",4341275.0,119.0,Apparition Films
1171,PG-13,Action and Adventure|Mystery and Suspense,"Oct 18, 2013",4300353.0,105.0,Lionsgate/Roadside Attractions
188,R,Comedy|Drama,"Jun 8, 2012",4007792.0,86.0,Film District
196,PG-13,Comedy,"Apr 22, 2005",3998889.0,98.0,WARNER BROTHERS PICTURES
1200,R,Action and Adventure|Drama|Western,"Oct 5, 2007",3900000.0,159.0,Warner Bros. Pictures
907,R,Art House and International|Comedy|Drama|Romance,"May 16, 2003",3752818.0,115.0,Fox Searchlight Pictures
1292,R,Art House and International|Drama,"Mar 7, 2003",3596939.0,103.0,Sony Pictures Classics
1574,R,Comedy,"Jul 26, 2013",3400000.0,104.0,CBS Films
1256,R,Drama|Mystery and Suspense|Science Fiction and Fantasy,"Oct 21, 2005",3349167.0,99.0,20th Century Fox
326,PG-13,Comedy|Drama,"Dec 29, 2010",3200000.0,129.0,Sony Classics
1447,R,Art House and International|Drama|Mystery and Suspense,"Oct 14, 2011",3185193.0,117.0,Sony Pictures Classics
1013,R,Drama,"Jan 27, 2012",3014541.0,113.0,Roadside Attractions
155,R,Comedy|Drama,"Jun 8, 2001",2974308.0,115.0,Fine Line Features
1953,R,Comedy|Documentary|Television,"Jun 11, 2010",2927972.0,84.0,IFC Films
432,PG-13,Comedy,"Jun 29, 2001",2839456.0,70.0,Paramount Pictures
211,R,Drama|Musical and Performing Arts,"Sep 23, 2000",2839256.0,137.0,Fine Line Features
1965,G,Animation|Kids and Family,"Apr 23, 2004",2782548.0,73.0,Warner Bros. Pictures
646,PG-13,Comedy|Drama|Mystery and Suspense,"Mar 14, 2014",2664765.0,108.0,Warner Bros.
1943,R,Art House and International|Drama,"Dec 5, 2003",2646396.0,94.0,Sony Pictures Classics
539,R,Art House and International|Comedy|Drama|Romance,"Aug 4, 2000",2586310.0,87.0,
465,PG,Drama,"Apr 30, 2004",2536460.0,128.0,Film Foundry Releasing
1801,PG-13,Drama,"Jan 21, 2011",2500000.0,133.0,
1832,R,Drama,"Mar 17, 2017",2395410.0,118.0,TriStar Pictures
773,R,Art House and International|Comedy|Drama,"Jun 26, 1998",2365931.0,110.0,
520,PG,Drama|Kids and Family,"Nov 22, 2013",2209479.0,100.0,Echolight Studios
1554,G,Kids and Family|Musical and Performing Arts,"Jul 26, 2000",2027042.0,95.0,Destination Films
1483,R,Drama,"Sep 23, 2016",2021399.0,118.0,
26,R,Art House and International|Comedy|Drama|Musical and Performing Arts,"May 14, 2004",1971135.0,96.0,MGM
804,R,Drama,"Oct 23, 2015",1940202.0,100.0,Open Road Films
674,R,Comedy|Mystery and Suspense,"Jul 27, 2012",1800000.0,102.0,Independent Pictures
850,R,Drama,"Nov 18, 2016",1736708.0,110.0,Sony Pictures
906,PG,Drama,,1688620.0,81.0,A24 Films
1080,PG-13,Drama|Musical and Performing Arts|Romance,"Jun 29, 2001",1634064.0,112.0,Lions Gate
1611,PG-13,Art House and International|Drama|Mystery and Suspense|Romance,"Dec 4, 2015",1626909.0,97.0,
191,NR,Drama,"Jul 12, 2013",1626289.0,188.0,Reliance Entertainment
845,R,Drama|Mystery and Suspense,"Nov 20, 2009",1616556.0,121.0,First Look Pictures
1155,PG-13,Documentary|Special Interest,"Mar 18, 2009",1569618.0,96.0,Truly Indie
